note_id,title,author,publish_time,liked_count,collected_count,comment_count,share_count,tags,caption,image_count,local_image_count,source_note_path
675838a9000000000603bc01,关于晚上上厕所不用开灯这件事儿,好多人都叫Kiki,2024-12-10,34000,4215,4192,71000,脚美甲、人字拖、美甲、荧光、美甲分享、三亚旅行、日常、彩色美甲、沙滩、通勤,以“关于晚上上厕所不用开灯这件事儿”为主题的美甲，整体偏通勤风格。,4,0,data/xhs/raw/20260505_013220/notes/675838a9000000000603bc01.json
608a18b3000000002103de4e,夏日梦幻云朵🌈唯美蓝紫色系星空晕染美甲,斑斓Babylike studio,2021-04-29,100000,84000,583,18000,白色、蓝色、紫色、银色、清透、渐变、水钻、亮片、星星、手绘、温柔、显白、夏季,"白色蓝色美甲，带有渐变, 水钻, 亮片, 星星元素，整体偏温柔, 显白, 夏季风格。",7,0,data/xhs/raw/20260505_013220/notes/608a18b3000000002103de4e.json
665839df0000000005004e5d,温柔感杏仁甲才是yyds！,豆本豆豆奶,2024-05-30,92000,57000,1044,23000,杏仁甲、裸色美甲、清透美甲、氛围感美甲、分享美甲、亲手晒美甲、美甲推荐、百搭美甲、裸色、清透、通勤、温柔,"裸色清透杏仁甲美甲，整体偏通勤, 温柔风格。",8,0,data/xhs/raw/20260505_013220/notes/665839df0000000005004e5d.json
66d850b0000000000c01af11,嫩嫩的磨砂猫眼细节图来噜,BiscuitNymph,2024-09-04,95000,60000,1160,20000,日常美甲、猫眼美甲、猫眼、粉色、丝绒、通勤、温柔,"粉色美甲，带有猫眼, 丝绒元素，整体偏通勤, 温柔风格。",4,0,data/xhs/raw/20260505_013220/notes/66d850b0000000000c01af11.json
661e1e84000000000100635e,🇬🇧Nail Share｜全身上下最先入夏的是指甲,小岛蝉,2024-04-16,90000,69000,1164,18000,留学英国、美甲分享、笔记灵感、伦敦美甲、伦敦美甲推荐、伦敦美甲美睫、英国美甲、美甲ins、短甲美甲、短甲美甲夏天、薄荷美甲、薄荷曼波、粉色、渐变、短甲、韩系、夏季,"粉色短甲美甲，带有渐变元素，整体偏韩系, 夏季风格。",3,0,data/xhs/raw/20260505_013220/notes/661e1e84000000000100635e.json
664c6697000000000f00c323,新美甲look ♡♩氧气感奶茶猫猫有亿点点好看,正义的小米粒,2024-05-21,89000,63000,517,14000,618活动力度、618购物清单、618满减、招商银行信用卡、亲手晒美甲、少女感美甲、ins风美甲、美甲、ins美甲、春日美甲、氛围感美甲、春夏美甲配色、分享美甲、少女心美甲、夏天美甲、纯欲美甲、腮红猫眼法式、招行信用卡优惠、信用卡推荐、裸色、清透、猫眼、法式、渐变,"裸色清透美甲，带有猫眼, 法式, 渐变元素。",10,0,data/xhs/raw/20260505_013220/notes/664c6697000000000f00c323.json
668931c4000000001e0139a4,🇰🇷温柔系美甲和小韩更配🫧,-斯塔里RAN-,2024-07-06,72000,50000,842,21000,笔记灵感、浪漫生活的记录者、美甲、美甲分享、韩国、氛围感美甲、韩国旅游、韩系美甲、我去韩国撒个欢、温柔、韩系,"以“🇰🇷温柔系美甲和小韩更配🫧”为主题的美甲，整体偏温柔, 韩系风格。",4,0,data/xhs/raw/20260505_013220/notes/668931c4000000001e0139a4.json
665f0396000000001500b087,💅美甲！,碎碎小西,2024-06-04,81000,45000,886,13000,美甲、拍照姿势、ins美甲、美甲分享、短甲美甲、短甲、韩系,短甲美甲，整体偏韩系风格。,6,0,data/xhs/raw/20260505_013220/notes/665f0396000000001500b087.json
66bcee3400000000050391d1,💅｜超适合夏天的薄荷曼波➕猫眼！！附细节图,_張,2024-08-15,64000,41000,986,13000,猫眼美甲、细闪美甲、碎钻胶美甲、分享美甲、氛围感美甲、美甲、美甲分享、美甲款式分享、杏仁甲、长款美甲、猫眼、水钻、亮片、长甲、显白、夏季,"杏仁甲美甲，带有猫眼, 水钻, 亮片元素，整体偏显白, 夏季风格。",7,0,data/xhs/raw/20260505_013220/notes/66bcee3400000000050391d1.json
667167ea000000001c037193,🪼把发光水母种在手上,Ms.Taffyyy🌟,2024-06-18,44000,37000,353,17000,偏光美甲、短甲美甲、夏天美甲、蓝色猫眼美甲、蓝色、猫眼、短甲、夏季,蓝色短甲美甲，带有猫眼元素，整体偏夏季风格。,5,0,data/xhs/raw/20260505_013220/notes/667167ea000000001c037193.json
